
2024/06/18 (15:52:21) | ===> btop++ v.1.3.2
2024/06/18 (15:52:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (16:38:12) | ===> btop++ v.1.3.2
2024/06/18 (16:38:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:09:33) | ===> btop++ v.1.3.2
2024/06/18 (19:09:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:14:37) | ===> btop++ v.1.3.2
2024/06/18 (19:14:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:10) | ===> btop++ v.1.3.2
2024/06/18 (19:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:41:30) | ===> btop++ v.1.3.2
2024/06/18 (19:41:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:47:09) | ===> btop++ v.1.3.2
2024/06/18 (19:47:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (20:08:45) | ===> btop++ v.1.3.2
2024/06/18 (20:08:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (20:09:28) | ===> btop++ v.1.3.2
2024/06/18 (20:09:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:05:40) | ===> btop++ v.1.3.2
2024/06/18 (21:05:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:10:32) | ===> btop++ v.1.3.2
2024/06/18 (21:10:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:23:08) | ===> btop++ v.1.3.2
2024/06/18 (21:23:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:23:53) | ===> btop++ v.1.3.2
2024/06/18 (21:23:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:28:59) | ===> btop++ v.1.3.2
2024/06/18 (21:28:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (23:20:43) | ===> btop++ v.1.3.2
2024/06/18 (23:20:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (11:58:40) | ===> btop++ v.1.3.2
2024/06/19 (11:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (12:01:11) | ===> btop++ v.1.3.2
2024/06/19 (12:01:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (15:55:57) | ===> btop++ v.1.3.2
2024/06/19 (15:55:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (17:08:27) | ===> btop++ v.1.3.2
2024/06/19 (17:08:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (17:08:39) | ===> btop++ v.1.3.2
2024/06/19 (17:08:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (19:42:30) | ===> btop++ v.1.3.2
2024/06/19 (19:42:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:42:12) | ===> btop++ v.1.3.2
2024/06/19 (21:42:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:42:26) | ===> btop++ v.1.3.2
2024/06/19 (21:42:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:58:27) | ===> btop++ v.1.3.2
2024/06/19 (21:58:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

